date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:03	35413/35413	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Jul%202023%2018:14:03%20GMT	https://villaeno.my.canva.site/	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/index.html	(from )
15:14:03	399/399	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jul%202023%2018:14:03%20GMT	https://villaeno.my.canva.site/robots.txt		(from )
15:14:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:04%20GMT	http://villaeno.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.0.delayed	(from https://villaeno.my.canva.site/)
15:14:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:04%20GMT	http://villaeno.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://villaeno.my.canva.site/)
15:14:05	510/510	---MC-	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202023%2018:14:04%20GMT	https://villaeno.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	(from https://villaeno.my.canva.site/)
15:14:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:05%20GMT	http://villaeno.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://villaeno.my.canva.site/)
15:14:05	1053/1053	---MC-	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202023%2018:14:05%20GMT	https://villaeno.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://villaeno.my.canva.site/)
15:14:06	6245/6245	---MC-	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202023%2018:14:06%20GMT	https://villaeno.my.canva.site/725b756a69a7d4c235070e51acd85560.png	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://villaeno.my.canva.site/)
15:14:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:06%20GMT	http://villaeno.my.canva.site/fonts/5e8564e438a0f035eaf200aea83dda40.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/5e8564e438a0f035eaf200aea83dda40.woff2	(from https://villaeno.my.canva.site/)
15:14:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Jul%202023%2018:14:08%20GMT	http://villaeno.my.canva.site/fonts/bcc6a8815cbd3f89c50a4f62f4107864.woff2	C:/Users/Marcelino/Documents/PAGINAS%20WEB/villaeno%20from%20canva%201/villaeno.my.canva.site/fonts/bcc6a8815cbd3f89c50a4f62f4107864.woff2	(from https://villaeno.my.canva.site/)
